model,nf_rank,nf_reg,metrics
mlp,-,-,"[Test] {'AUC': 0.6143172389922166, 'NDCG@10': 0.0020219529619719097, 'Recall@10': 0.00257201646090535}"
mf,-,-,"[Test] {'AUC': 0.6424163032955019, 'NDCG@10': 0.0003763922601529703, 'Recall@10': 0.00102880658436214}"
nfvlm,8,0,"[Test] {'AUC': 0.6894012486174016, 'NDCG@10': 0.001861398848236582, 'Recall@10': 0.0030864197530864196}"
nfvlm,8,0.0001,"[Test] {'AUC': 0.6711003696295785, 'NDCG@10': 0.00084964050083679, 'Recall@10': 0.00205761316872428}"
nfvlm,8,0.001,"[Test] {'AUC': 0.6790678412048852, 'NDCG@10': 0.0008032954278008491, 'Recall@10': 0.0015432098765432098}"
nfvlm,8,0.003,"[Test] {'AUC': 0.6957616808822066, 'NDCG@10': 0.002068526819049309, 'Recall@10': 0.0030864197530864196}"
nfvlm,16,0,"[Test] {'AUC': 0.6926304623818246, 'NDCG@10': 0.004707005114436561, 'Recall@10': 0.00565843621399177}"
nfvlm,16,0.0001,"[Test] {'AUC': 0.6871313283419291, 'NDCG@10': 0.0029747889648318758, 'Recall@10': 0.0051440329218107}"
nfvlm,16,0.001,"[Test] {'AUC': 0.6851235270376246, 'NDCG@10': 0.0025842175999412705, 'Recall@10': 0.00360082304526749}"
nfvlm,16,0.003,"[Test] {'AUC': 0.6864686070303699, 'NDCG@10': 0.001568283566010458, 'Recall@10': 0.00257201646090535}"
nfvlm,32,0,"[Test] {'AUC': 0.6986702786654507, 'NDCG@10': 0.0006700626633051485, 'Recall@10': 0.0015432098765432098}"
nfvlm,32,0.0001,"[Test] {'AUC': 0.6858686933709349, 'NDCG@10': 0.0023148148148148147, 'Recall@10': 0.00257201646090535}"
nfvlm,32,0.001,"[Test] {'AUC': 0.6777457513034104, 'NDCG@10': 0.001811096388917316, 'Recall@10': 0.0030864197530864196}"
nfvlm,32,0.003,"[Test] {'AUC': 0.6909107396934143, 'NDCG@10': 0.0023191116650778474, 'Recall@10': 0.00411522633744856}"
nfvlm,64,0,"[Test] {'AUC': 0.6924822720851757, 'NDCG@10': 0.0040203008625441, 'Recall@10': 0.004629629629629629}"
nfvlm,64,0.0001,"[Test] {'AUC': 0.6963472576652796, 'NDCG@10': 0.002580411961232023, 'Recall@10': 0.0051440329218107}"
nfvlm,64,0.001,"[Test] {'AUC': 0.6845093403631923, 'NDCG@10': 0.004300001405289596, 'Recall@10': 0.006172839506172839}"
nfvlm,64,0.003,"[Test] {'AUC': 0.6883850227218735, 'NDCG@10': 0.002565399660843354, 'Recall@10': 0.0030864197530864196}"
